label,description,type
"Letter to V. S. Kalinnikov, 1900","Dear Vasily Sergeyevich!
  
  Please forgive me my immodest question: I would like to know if you received 200 rubles from F. I. Shalyapin this spring, shortly before my arrival in Yalta? Please answer with at least one word.
  
  I wish you all the best from the bottom of my heart.
  
  S. Rachmaninov
  
  © https://senar.ru/letters/168",Letter
"Letter to A. A. Liventsova, 1900","Dear Alevtina Alexandrovna.
  
  Yesterday I was unexpectedly detained and couldn't get to class, but I wanted to ask you yesterday what tickets to leave for you for the concert on December 2. Would you be so kind as to inform me of this in writing? The ticket prices are as follows: columns - 1 ruble 50 [kopecks], stalls - from 3 rubles 10 kopecks and up, choirs - 3 rubles 10 kopecks. I am in a hurry with this because all tickets by appointment are very popular and you might not have gotten the seats you decided to take.
  
  With sincere respect to you, S. Rachmaninov
  
  © https://senar.ru/letters/169",Letter
"Letter to E. Yu. Kreutzer, 1900","Dear Elena Yulievna!
  
  Natasha fell ill today. Grigory Lvovich thinks that she, like Sonya, has the common flu.
  
  (Sonechka's temperature is a little lower today and she feels better.)
  
  I am writing to you to find out whether I should come to your lesson? Aren't you afraid of infection?
  
  Answer me, and, of course, quite sincerely.
  
  Loyal S. Rachmaninov
  
  P.S. Natasha told me yesterday that Yuli Ivanovich arrived. In that case, please give him my regards.
  
  © https://senar.ru/letters/170",Letter
"Letter to N. R. Kochetov, 1900","ear Nikolai Razumnikovich.
  
  I was sick all the time and only today I barely got up to rehearse my Concerto with the orchestra. I learned today that due to some misunderstanding the ticket to the ""Moskovsky Listok"" was not sent. I found the only ticket (forgive me for such a bad seat) and am sending it to you. For God's sake, do not think that I want to see you at the concert because of some advantageous plans - no! - I will be simply and sincerely glad if you come to listen to me.
  
  Yours S. Rachmaninov
  
  © https://senar.ru/letters/171",Letter
"Letter to A. A. Liventsova, 1901","Dear Alevtina Alexandrovna.
  
  Let me come to you on Sunday evening (around nine o'clock).
  
  S. Rachmaninov",Letter
"Letter to A. B. Goldenweiser, 1901","I hasten to answer your letter, dear Alexander Borisovich, which I received today. Firstly, the Chaliapin concert will not take place, and secondly, I must refuse to participate in the concert organized by Countess Sophia Andreyevna. I have a lot of work ahead of me all this time, not to mention the fact that at the beginning of March there is another charity concert, where I have already promised to participate, and again two pianos, and again many rehearsals.
  
  I hope that you have recovered now. It is a great pity that I cannot come to you because of your illness. Let me know when it will be possible. My greetings to all yours.
  
  S. R.
  
  © https://senar.ru/letters/173",Letter
"Letter to A. B. Goldenweiser, 1901","I am sending you, Alexander Borisovich, three parts of my new suite for 2 pianos. I beg you to play it with me. Would you be so kind as to look over your part before our tryout? I can come to you this evening around nine o'clock. Are you free? And will you have time to look over it? If not, should I postpone it until another day? I would come on Sunday, but I'm afraid you'll have a lot of people. Please answer.
  
  Yours, S. Rachmaninov
  
  © https://senar.ru/letters/174",Letter
"Letter to V. I. Safonov, 1901","Dear Sir Vasily Ilyich.
  
  You were incorrectly informed that I have finished my 2nd Concerto. It is not ready yet. All this time I have been busy with another composition and I only started my Concerto yesterday. In view of the fact that my work cannot be finished by the date you have set, I am forced to refuse to participate in the Symphony Assembly on March 2.
  
  Ready for service, S. Rachmaninov
  
  © https://senar.ru/letters/175",Letter
"Letter to V. I. Safonov, 1901","Dear Sir Vasily Ilyich.
  
  Allow me to reply to your letter, with an invitation to play in the coming season in one of the Symphony Meetings, in a week and a half, two weeks - by which time I should have more or less cleared up my plans for the coming winter.
  
  Please accept the assurance of my highest consideration.
  
  S. Rachmaninov
  
  © https://senar.ru/letters/176",Letter
"Letter to V. I. Safonov, 1901","Dear Sir Vasily Ilyich.
  
  I hasten to inform you that my participation in this season, in the Symphony Assembly, cannot take place. As for the next season, I have already been invited by the Directorate of the Philharmonic Society and I consider it inconvenient for myself and for the Directorate of the above-mentioned Society to participate in the same season and with the same piece in another Society.
  
  Please accept the assurance of my highest consideration.
  
  S. Rachmaninov
  
  © https://senar.ru/letters/177",Letter
"Letter to A. B. Goldenweiser, 1901","Dear Alexander Borisovich, I am sending two parts of my Concerto. Look at them, especially the last part, which goes quickly.
  
  I will come to you tomorrow around ten o'clock in the evening. As for the first part, I am unlikely to finish it by Saturday.
  
  Yours, S. Rachmaninov
  
  © https://senar.ru/letters/178",Letter
"Letter to N. D. Scallon, 1901","No, Tatusha. You didn't guess.
  
  S.R.
  
  P.S. I still feel unwell.",Letter
"Letter to E. Yu. Kreutzer, 1901","My very respected Elena Yulievna!
  
  Allow me to thank you with all my heart for your attention, for your care, for your kindness. Forgive me my whims, which you have witnessed more than once, and accept my assurance of my sincere devotion to you.
  
  S. R.
  
  © https://senar.ru/letters/180",Letter
"Letter to E. Yu. Kreutzer, 1901","Dear Elena Yulievna, hello!
  
  How is your health and how are you doing? I hope you are doing well. I am sending you a card (I am the one sending it), on which you will see my nephew Levko riding Lenushka. You will agree that both are magnificent. Be sure to show this card to all of yours and Ananiy Grigorievich. Then be sure to inform us about the health of Yuliy Ivanovich and, finally, the last request, I ask you to send me my piano. No one is listening to my departure.
  
  I bow to all of yours. Be healthy. Once again, I thank you for your hospitality and good relations.
  
  Sincerely devoted, S. R.
  
  © https://senar.ru/letters/181",Letter
"Letter to K. S. Alekseev (Stanislavsky), 1901","Dear Konstantin Sergeyevich, I kindly ask you to leave me two tickets for the first performance of ""The Wild Duck"" for no more than 2 rubles each. They will be picked up at the box office after the first announcement. I hope that not all the tickets are taken yet. Please fulfill my request.
  
  Yours sincerely, S. Rachmaninov
  
  I am writing to you from the village, and therefore do not expect an answer.
  
  © https://senar.ru/letters/182",Letter
"Letter to E. Yu. Kreutzer, 1901","Dear Elena Yulievna!
  
  Today Sonya, Volodya and the children left for Moscow. I instructed Sonya to go to the Gutheil store and tell them to send you, according to our agreement, one copy of my new suite.
  
  Before that, I want to thank you once again for the efforts and suffering you took while copying this suite. I hope that everything is fine with you, and most importantly, that Yuli Ivanovich has now recovered. Send him my regards, and also to all yours.
  
  Be healthy.
  
  Yours faithfully, S. Rachmaninov
  
  © https://senar.ru/letters/183",Letter
"Letter to P. N. Rencicko, 1901","Dear Sir, all the tempos are generally correct, except for the first part, which you play too slowly. The quarter is not 96, but 116, 120. The second and third parts are unchanged. But the last part is a little slower than you expected (112, 108). We performed the Barcarolle as it was printed. There are no cuts.
  
  In conclusion, allow me to thank you from the bottom of my heart for your desire to perform one of my pieces.
  
  With the utmost respect, S. Rachmaninov
  
  My address: Moscow, Leontyevsky Lane, house No. 22, apartment No. 10.
  
  © https://senar.ru/letters/184",Letter
"Letter to I. A. Buninu, 1901","Dear Ivan Alekseevich, I really, really want to see you, but I have urgent work that keeps me at home. But if you were so kind and kind and would come to me, for example, this evening at nine o'clock, I would be very glad.
  
  My address: Leontyevsky Lane, Katyk house, apartment 10 (there is a sign for some ""Chetchikova"" at the entrance).
  
  Yours S. Rachmaninov
  
  © https://senar.ru/letters/185",Letter
"Letter to N. S. Morozov, 1901","You are right, Nikita Semenovich!
  
  I have just played the first part of my Concerto, and only now it suddenly became clear to me that the transition from the first theme to the second is no good, that in this form the first theme is not the first theme, but an introduction, and that no fool will believe me when I start playing the second theme, that this is precisely the second theme. Everyone will think that this is the beginning of the Concerto. In my opinion, this entire part is spoiled and has become positively disgusting to me from this moment. I am simply in despair! And why did you pester me with your analysis five days before the performance of this Concerto?!
  
  Yours S. R.
  
  © https://senar.ru/letters/186",Letter
"Letter to I. A. Buninu, 1901","I will not come to you. My work is going poorly, and there is little time left. I am in despair... I sincerely wish you success today and a safe journey tomorrow. I hope that you will let me know the next time you come, and then I will certainly come to you.
 
 Yours, S. Rachmaninov
 
 Thank you for the poems you sent and for the inscription.
 
 I managed to read a little, but what I read was very good and I really liked it.
 
 © https://senar.ru/letters/187""",Letter
"Letter to S. I. Taneevu, 1901","""Dear Sergey Ivanovich.
 
 Can I find you at home on Friday, November 23rd at 5 o'clock in the afternoon? Please let me know! If this day is inconvenient for you, then I can only come to you on Monday at 7 o'clock in the evening.
 
 Yours faithfully, S. Rachmaninov
 
 P.S. You are making a mistake in my address: the house is Katyk, not Kartyk.
 
 © https://senar.ru/letters/188""",Letter
"Letter to S. I. Taneevu, 1901","Dear Sergey Ivanovich.
 
 Can I come to you on Wednesday instead of 7 p.m. at five in the afternoon? Please reply with the messenger. If he does not find you, then write me one word, I beg you.
 
 S. Rachmaninov
 
 © https://senar.ru/letters/189",Letter
"Letter to S. I. Taneevu, 1901","Rehearsal at the Assembly at half past eleven.
 Rachmaninov",Letter
fatigued,,Mood
grateful,,Mood
affectionate,,Mood
melancholy,,Mood
neutral,,Mood
apologetic,,Mood
happy,,Mood
